,class,idx
0,wave,30
1,drink,28
2,punch,29
3,hug,24
4,run,25
5,cartwheel,26
6,dive,27
7,shoot_ball,20
8,kick,21
9,handstand,48
10,talk,49
11,push,46
12,climb,47
13,smoke,44
14,pick,45
15,clap,42
16,stand,43
17,pour,40
18,turn,41
19,golf,1
20,chew,0
21,walk,3
22,sword_exercise,2
23,fall_floor,5
24,jump,4
25,shoot_gun,7
26,laugh,6
27,ride_bike,9
28,hit,8
29,fencing,13
30,sit,12
31,eat,14
32,draw_sword,11
33,swing_baseball,10
34,ride_horse,39
35,brush_hair,38
36,pushup,15
37,somersault,22
38,pullup,17
39,sword,16
40,shake_hands,19
41,smile,18
42,situp,31
43,flic_flac,23
44,kick_ball,37
45,climb_stairs,36
46,throw,35
47,dribble,34
48,catch,33
49,kiss,32
50,shoot_bow,50
