,sample,cid,class,db,dir,num,split,tag,vid
0,#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_fr_bad_1.avi,45,pick,hmdb51,./Dataset/hmdb51/pick/#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_fr_bad_1/img/,224,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pick/#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_fr_bad_1.avi
1,#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_le_bad_2.avi,45,pick,hmdb51,./Dataset/hmdb51/pick/#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_le_bad_2/img/,116,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pick/#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_le_bad_2.avi
2,#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_ri_bad_0.avi,45,pick,hmdb51,./Dataset/hmdb51/pick/#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_ri_bad_0/img/,68,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/pick/#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_ri_bad_0.avi
3,#20_Rhythm_clap_u_nm_np1_fr_goo_0.avi,42,clap,hmdb51,./Dataset/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_fr_goo_0/img/,77,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_fr_goo_0.avi
4,#20_Rhythm_clap_u_nm_np1_fr_goo_1.avi,42,clap,hmdb51,./Dataset/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_fr_goo_1/img/,77,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_fr_goo_1.avi
5,#20_Rhythm_clap_u_nm_np1_fr_goo_2.avi,42,clap,hmdb51,./Dataset/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_fr_goo_2/img/,77,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_fr_goo_2.avi
6,#20_Rhythm_clap_u_nm_np1_le_goo_3.avi,42,clap,hmdb51,./Dataset/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_le_goo_3/img/,77,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_le_goo_3.avi
7,#20_Rhythm_clap_u_nm_np1_le_goo_4.avi,42,clap,hmdb51,./Dataset/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_le_goo_4/img/,77,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/clap/#20_Rhythm_clap_u_nm_np1_le_goo_4.avi
8,#2_Gum_chew_h_nm_np1_fr_med_0.avi,0,chew,hmdb51,./Dataset/hmdb51/chew/#2_Gum_chew_h_nm_np1_fr_med_0/img/,78,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/chew/#2_Gum_chew_h_nm_np1_fr_med_0.avi
9,#2_Gum_chew_h_nm_np1_fr_med_2.avi,0,chew,hmdb51,./Dataset/hmdb51/chew/#2_Gum_chew_h_nm_np1_fr_med_2/img/,124,s1,train,/home/windhyk/Desktop/HARdatabase_frames/hmdb51/chew/#2_Gum_chew_h_nm_np1_fr_med_2.avi
