,Unnamed: 0,sample,cid,class,db,dir,num,split,tag,vid
0,0,v_ApplyEyeMakeup_g08_c01.avi,0,ApplyEyeMakeup,ucf101,./Dataset/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c01/img/,119,s1,train,/home/windhyk/Desktop/HARdatabase_frames/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c01.avi
1,1,v_ApplyEyeMakeup_g08_c02.avi,0,ApplyEyeMakeup,ucf101,./Dataset/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c02/img/,116,s1,train,/home/windhyk/Desktop/HARdatabase_frames/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c02.avi
2,2,v_ApplyEyeMakeup_g08_c03.avi,0,ApplyEyeMakeup,ucf101,./Dataset/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c03/img/,145,s1,train,/home/windhyk/Desktop/HARdatabase_frames/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c03.avi
3,3,v_ApplyEyeMakeup_g08_c04.avi,0,ApplyEyeMakeup,ucf101,./Dataset/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c04/img/,223,s1,train,/home/windhyk/Desktop/HARdatabase_frames/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c04.avi
4,4,v_ApplyEyeMakeup_g08_c05.avi,0,ApplyEyeMakeup,ucf101,./Dataset/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c05/img/,275,s1,train,/home/windhyk/Desktop/HARdatabase_frames/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c05.avi
5,5,v_ApplyEyeMakeup_g09_c01.avi,0,ApplyEyeMakeup,ucf101,./Dataset/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c01/img/,175,s1,train,/home/windhyk/Desktop/HARdatabase_frames/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c01.avi
6,6,v_ApplyEyeMakeup_g09_c02.avi,0,ApplyEyeMakeup,ucf101,./Dataset/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c02/img/,257,s1,train,/home/windhyk/Desktop/HARdatabase_frames/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c02.avi
7,7,v_ApplyEyeMakeup_g09_c03.avi,0,ApplyEyeMakeup,ucf101,./Dataset/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c03/img/,209,s1,train,/home/windhyk/Desktop/HARdatabase_frames/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c03.avi
8,8,v_ApplyEyeMakeup_g09_c04.avi,0,ApplyEyeMakeup,ucf101,./Dataset/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c04/img/,190,s1,train,/home/windhyk/Desktop/HARdatabase_frames/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c04.avi
9,9,v_ApplyEyeMakeup_g09_c05.avi,0,ApplyEyeMakeup,ucf101,./Dataset/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c05/img/,193,s1,train,/home/windhyk/Desktop/HARdatabase_frames/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c05.avi
10,10,v_ApplyEyeMakeup_g09_c06.avi,0,ApplyEyeMakeup,ucf101,./Dataset/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c06/img/,187,s1,train,/home/windhyk/Desktop/HARdatabase_frames/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c06.avi
11,11,v_ApplyEyeMakeup_g09_c07.avi,0,ApplyEyeMakeup,ucf101,./Dataset/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c07/img/,260,s1,train,/home/windhyk/Desktop/HARdatabase_frames/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c07.avi
12,12,v_ApplyEyeMakeup_g10_c01.avi,0,ApplyEyeMakeup,ucf101,./Dataset/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c01/img/,152,s1,train,/home/windhyk/Desktop/HARdatabase_frames/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c01.avi
13,13,v_ApplyEyeMakeup_g10_c02.avi,0,ApplyEyeMakeup,ucf101,./Dataset/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c02/img/,97,s1,train,/home/windhyk/Desktop/HARdatabase_frames/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c02.avi
14,14,v_ApplyEyeMakeup_g10_c03.avi,0,ApplyEyeMakeup,ucf101,./Dataset/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c03/img/,105,s1,train,/home/windhyk/Desktop/HARdatabase_frames/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c03.avi
15,15,v_ApplyEyeMakeup_g10_c04.avi,0,ApplyEyeMakeup,ucf101,./Dataset/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c04/img/,123,s1,train,/home/windhyk/Desktop/HARdatabase_frames/ucf101/ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c04.avi
