,class,idx
0,MilitaryParade,11
1,TrampolineJumping,23
2,HorseRiding,8
3,PizzaTossing,36
4,CleanAndJerk,31
5,Fencing,49
6,Billiards,20
7,PullUps,33
8,PoleVault,16
9,SalsaSpin,35
10,SoccerJuggling,22
11,SkateBoarding,32
12,ThrowDiscus,21
13,TaiChi,27
14,PlayingPiano,17
15,Lunges,40
16,Punch,24
17,PlayingViolin,25
18,Skijet,28
19,YoYo,34
20,Mixing,46
21,BreastStroke,47
22,Nunchucks,18
23,Drumming,15
24,HulaHoop,0
25,JavelinThrow,9
26,RopeClimbing,2
27,Rowing,13
28,Kayaking,7
29,Basketball,48
30,JumpRope,41
31,HorseRace,43
32,PlayingTabla,44
33,Swing,37
34,PommelHorse,29
35,Biking,3
36,PlayingGuitar,14
37,HighJump,6
38,WalkingWithDog,30
39,BenchPress,45
40,VolleyballSpiking,5
41,PushUps,19
42,TennisSwing,38
43,RockClimbingIndoor,12
44,BaseballPitch,39
45,JugglingBalls,10
46,Skiing,26
47,Diving,4
48,GolfSwing,1
49,JumpingJack,42
