,sample,cid,class,db,dir,num,split,tag,vid
0,v_HulaHoop_g09_c05.avi,0,HulaHoop,ucf50,./Dataset/ucf50/HulaHoop/v_HulaHoop_g09_c05/img,90,s1,train,./video_dataset/ucf50/HulaHoop/v_HulaHoop_g09_c05.avi
1,v_HulaHoop_g25_c03.avi,0,HulaHoop,ucf50,./Dataset/ucf50/HulaHoop/v_HulaHoop_g25_c03/img,90,s1,test,./video_dataset/ucf50/HulaHoop/v_HulaHoop_g09_c05.avi
2,v_HulaHoop_g12_c05.avi,0,HulaHoop,ucf50,./Dataset/ucf50/HulaHoop/v_HulaHoop_g12_c05/img,90,s1,test,./video_dataset/ucf50/HulaHoop/v_HulaHoop_g09_c05.avi
3,v_HulaHoop_g12_c01.avi,0,HulaHoop,ucf50,./Dataset/ucf50/HulaHoop/v_HulaHoop_g12_c01/img,100,s1,train,./video_dataset/ucf50/HulaHoop/v_HulaHoop_g09_c05.avi
4,v_HulaHoop_g02_c02.avi,0,HulaHoop,ucf50,./Dataset/ucf50/HulaHoop/v_HulaHoop_g02_c02/img,120,s1,train,./video_dataset/ucf50/HulaHoop/v_HulaHoop_g09_c05.avi
5,v_HulaHoop_g11_c02.avi,0,HulaHoop,ucf50,./Dataset/ucf50/HulaHoop/v_HulaHoop_g11_c02/img,199,s1,train,./video_dataset/ucf50/HulaHoop/v_HulaHoop_g09_c05.avi
6,v_HulaHoop_g21_c04.avi,0,HulaHoop,ucf50,./Dataset/ucf50/HulaHoop/v_HulaHoop_g21_c04/img,100,s1,train,./video_dataset/ucf50/HulaHoop/v_HulaHoop_g09_c05.avi
7,v_HulaHoop_g03_c03.avi,0,HulaHoop,ucf50,./Dataset/ucf50/HulaHoop/v_HulaHoop_g03_c03/img,90,s1,train,./video_dataset/ucf50/HulaHoop/v_HulaHoop_g09_c05.avi
8,v_HulaHoop_g05_c03.avi,0,HulaHoop,ucf50,./Dataset/ucf50/HulaHoop/v_HulaHoop_g05_c03/img,107,s1,train,./video_dataset/ucf50/HulaHoop/v_HulaHoop_g09_c05.avi
9,v_HulaHoop_g15_c01.avi,0,HulaHoop,ucf50,./Dataset/ucf50/HulaHoop/v_HulaHoop_g15_c01/img,80,s1,train,./video_dataset/ucf50/HulaHoop/v_HulaHoop_g09_c05.avi
